caribou\ABS.sg tuntu
boat\ABS.sg angyaq
river\ABS.sg kuik
dog\ABS.sg qimugta
work-IND.3sg caliuq
eat-IND.3sg neruq
play-IND.3sg aquiguq
sleep-IND.3sg qavartuq
be.good-IND.3sg assirtuq
be.hungry-IND.3sg kaigtuq
caribou-big\ABS.sg tunturpak
boat-big\ABS.sg angyarpak
river-big\ABS.sg kuirpak
dog-big\ABS.sg qimugterpak
work-PST-IND.3sg calillruuq
eat-PST-IND.3sg nerellruuq
sleep-PST-IND.3sg qavallruuq
be.hungry-PST-IND.3sg kaillruuq
tuntu-to.make-IND.3sg tuntuliuq
boat-to.make-IND.3sg angyaliuq
river-to.make-IND.3sg kuiliuq
dog-to.make-IND.3sg qimugteliuq
work-place.to-IND.3sg calivik
eat-place.to-IND.3sg nervik
play-place.to-IND.3sg aquivik
sleep-place.to-IND.3sg qavarvik
be.hungry-place.to-IND.3sg kaigvik
dog\ABS.sg=QST qimugta-qaa
work-PST-IND.3sg=QST calillruuq-qaa
boat-to.make-IND.3sg=QST angyaliuq-qaa
sleep-IND.3sg=QST qavartuq-qaa
river-baby-big-to.make-again-PST-IND.3sg kuiyararpalinqigtellruuq
sleep-PST-again-place.to-big-to.make-again-IND.3sg=QST qavallrunqigtevirpalinqigtuq-qaa
village\ABS.sg nuna
ice.cream\ABS.sg akutaq
person\ABS.sg yuk
sun\ABS.sg akerta
be.smart-IND.sg elisngauq
sit-IND.3sg aqumuq
walk-IND.3sg piyuaguq
study-IND.3sg elitnaurtuq
go-IND.3sg ayagtuq
village-fake\ABS.sg nunanguaq
ice.cream-fake\ABS.sg akutaruaq
person-fake\ABS.sg yuguaq
sun-fake\ABS.sg akertenguaq
be.smart-A'.say-IND.3sg elisnganiuq
sit-A'.say-IND.3sg aqumniuq
walk-A'.say-IND.3sg piyuaniuq
study-A'.say-IND.3sg elitnaurniuq
go-A'.say-IND.3sg ayagniuq
village-to.lack-IND.3sg nunaituq
ice.cream-to.lack-IND.3sg akutaituq
person-to.lack-IND.3sg yuituq
sun-to.lack-IND.3sg akertaituq
be.smart-one.who\ABS.sg elisngasta
sit-one.who\ABS.sg aqumesta
walk-one.who\ABS.sg piyuasta
study-one.who\ABS.sg elitnaurta
go-one.who\ABS.sg ayagta
work-IND.1sg.3sg caliaqa
eat-IND.1sg.3sg neraqa
study-IND.1sg.3sg elitnaurtuq 
caribou-ABS.1sg.sg tuntuka
boat-ABS.1sg.sg angyaka
river-ABS.1sg.sg kuika
dog-ABS.1sg.sg qimugteka
village-ABS.1sg.sg nunaka
ice.cream-ABS.1sg.sg akutaka
person-ABS.1sg.sg yuka
sun-ABS.1sg.sg akerteka
village-to.lack-IND.3sg=reported nunaituq-gguq
be.smart-one.who\ABS.sg=reported elisngasta-gguq
dog-ABS.1sg.sg=reported qimugteka-gguq
work-PST-IND.3sg=reported calillruuq-gguq
study-again-one.who-to.lack-IND.3sg=reported elitnaunqigtestaituq=gguq
dog-to.lack-place.to-to.make-IND.1sg.3sg  qimugtaitviliaqa
boat-to.make-PST-again-one.who-big-fake\ABS.sg  angyalillrunqigtesterpaguaq
sleep-again-place.to\ABS.sg   qavanqigtevik
work-again-place.to-to.lack-one.who-fake\ABS.sg=QST   calinqigteviitestenguaq=qaa
boat-fake-fake-fake-fake\ABS.sg angyaruaruaruaruaq
play-place.to-to.lack-PST-place.to-big-ABS.1sg.sg=reported  aquiviitellruvirpaka=gguq
caribou\ABS.sg=reported=reported=QST=QST=QST    tuntu=gguq=gguq=qaa=qaa=qaa
work-PST-PST-one.who-to.make-place.to\ABS.sg  calillrullrustelivik
village-big-fake\ABS.sg nunarpaguaq
caribou-to.lack-one.who-baby-fake-to.make-again-PST-again-one.who-big-fake\ABS.sg=QST   tuntungitesteyagarualinqigtellrunqigtesterpaguaq=qaa







